# RDB data retrieved from Oracle.
#
# $Log$
# tsql nwisor -rdb 'select * from gw_cons_01  order by site_no' |# 02/19/2019 21:01:02, llorzol
#
agency_cd	site_no	cons_seq_nu	cons_dt	special_treat_cd	cons_contractor_nm	cons_src_cd	seal_depth_va	seal_cd	cons_meth_cd	dev_meth_cd	dev_du	finish_cd	cons_web_cd	cons_cn	cons_cr	cons_mn	cons_md
5s	15s	9n	8s	1s	12s	1s	4s	1s	1s	1s	3s	1s	1s	8s	25d	8s	25d
USGS	415245121015801	1	19950911		STOREY	D	  21	G	A			X	Y	tiffany	10-AUG-2001 17:04:48	tiffany	10-AUG-2001 17:04:48
USGS	415312121403201	1	19800505		WILSON	D	  20	G					Y	tiffany	10-AUG-2001 17:04:46	tiffany	10-AUG-2001 17:04:46
USGS	415336121403901	1	20011101		LAYNE CHRIST	G	  40	G	R			X	Y	tiffany	24-SEP-2002 15:57:13	tiffany	24-SEP-2002 15:57:13
USGS	415341120535001	1	19971121		ENLOE L DRLG	D	   2	G	A			P	Y	tiffany	10-AUG-2001 17:04:49	tiffany	10-AUG-2001 17:04:49
USGS	415425121383701	1	20011210		LAYNE-CHRIST	G	 438	G	R			X	Y	tiffany	24-SEP-2002 16:38:43	tiffany	24-SEP-2002 16:38:43
USGS	415425121383702	1	20011210		LAYNE-CHRIST	G	 400	G	R			X	Y	tiffany	24-SEP-2002 16:38:44	tiffany	24-SEP-2002 16:38:44
USGS	415436121443001	1	20000928		WESCORP	D	  95	G	H	P		X	Y	tiffany	10-SEP-2002 21:41:51	tiffany	10-SEP-2002 21:41:51
USGS	415454121381101	1	20011003		LAYNE CHRIST	G	 410		R			X	Y	tiffany	24-SEP-2002 15:57:09	tiffany	24-SEP-2002 15:57:09
USGS	415455121381101	1	20000906		STOREY	G	 360	G	H			X	Y	tiffany	24-SEP-2002 15:57:11	tiffany	24-SEP-2002 15:57:11
USGS	415516121373701	1	20011210		LAYNE CHRIST	G	 516	G	R			X	Y	tiffany	24-SEP-2002 15:57:07	tiffany	24-SEP-2002 15:57:07
USGS	415516121373801	1	2001		LAYNE CHRIST	G	 498	G	A			G	Y	tiffany	24-SEP-2002 15:57:05	tiffany	19-SEP-2003 12:58:32
USGS	415546121205401	1										X	Y	tiffany	27-MAR-2002 19:47:14	tiffany	06-FEB-2007 18:55:41
USGS	415641121335101	1	19820819		LAWRENCE,D.	D	  34	G	A			F	Y	tiffany	10-AUG-2001 17:04:47	tiffany	10-AUG-2001 17:04:47
USGS	415646121335201	1	19370501		HARTLEY, GEO	S			C			X	Y	tiffany	10-SEP-2002 21:41:53	tiffany	10-SEP-2002 21:41:53
USGS	415710121373201	1	19930225		DESPAIN	D	  23	G	A			X	Y	tiffany	10-AUG-2001 17:04:52	tiffany	10-AUG-2001 17:04:52
USGS	415714121372301	1	19920916		DESPAIN	D	  32	G	A			X	Y	tiffany	10-AUG-2001 17:04:51	tiffany	10-AUG-2001 17:04:51
USGS	415740121284801	1	20021114		LANG EXPLORA	D	 855	G	R			S	Y	tiffany	19-MAR-2003 14:57:14	tiffany	19-MAR-2003 14:57:14
USGS	415753121211601	1	20010811		LANG	D	 461	G	R			G	Y	tiffany	12-MAR-2003 21:52:45	tiffany	14-MAR-2003 14:37:10
USGS	415807121340801	1	1937		S				C				Y	tiffany	25-JAN-2002 21:51:56	tiffany	25-JAN-2002 21:51:56
USGS	415820121332001	1	20010608		LANG EXPLORA	D	 220	G	R			G	Y	tiffany	10-JUN-2002 21:30:29	tiffany	10-JUN-2002 21:30:29
USGS	415829121365901	1	19920902		DESPAIN,L.G.	D	  22	G	A			X	Y	tiffany	06-SEP-2002 15:07:34	tiffany	06-SEP-2002 15:07:34
USGS	415835121221701	1	20010907		LANG EXPLORA	D	 456	G	R			S	Y	tiffany	10-JUN-2002 21:30:30	tiffany	10-JUN-2002 21:30:30
USGS	415838120545901	1	198108		CONNERS'	D		N	A			X	Y	tiffany	10-AUG-2001 17:04:49	tiffany	10-AUG-2001 17:04:49
USGS	415932121390301	1	20010929		LAYNE CHRIST	G	  40	G	A	A		X	Y	tiffany	24-SEP-2002 15:57:03	tiffany	18-JAN-2005 20:54:07
USGS	415936120172701	1	19831018		CHANCELLOR	D	  20	G	A	A	1	X	Y	nwis	04-NOV-1998 00:00:00	nwis	06-AUG-1992 00:00:00
USGS	415946121213501	1	20010718		LANG EXPLORA	D	 470	G	R			S	Y	tiffany	16-AUG-2002 15:53:34	tiffany	16-AUG-2002 15:53:34
USGS	415947121243401	1	20010627		LANG EXPLORA	D	 430	G	R			G	Y	tiffany	16-AUG-2002 15:46:43	tiffany	16-AUG-2002 15:46:43
USGS	415947121270301	1	20010726		LANG EXPLORA	D	 462	G	R			S	Y	tiffany	16-AUG-2002 15:51:19	tiffany	16-AUG-2002 15:51:19
USGS	415953121292901	1	20010713		LANG EXPLORA	D	 460	G	R			S	Y	tiffany	16-AUG-2002 15:49:19	tiffany	16-AUG-2002 15:49:19
USGS	415953121312701	1	20010627		LANG EXPLORA	D	 460	G	R			S	Y	tiffany	16-AUG-2002 15:35:31	tiffany	16-AUG-2002 15:35:31
USGS	415953121324001	1	20010808		LANG EXPLORA	D	 400	G	R			S	Y	tiffany	16-AUG-2002 15:40:34	tiffany	16-AUG-2002 15:40:34
USGS	415956117430201	1	1954		NAILAN,JIG	S							Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	415956121415701	1	19660811		ENLOE, C.F.	D	  40	Z	C			X	Y	tiffany	06-SEP-2002 15:07:32	tiffany	06-SEP-2002 15:07:32
USGS	415957121420201	1	19891104		C&C DRILLING	D	  20	G	A			F	Y	tiffany	10-AUG-2001 17:04:51	tiffany	10-AUG-2001 17:04:51
USGS	420005118482601	1	19551230		BLM	D	   0		C			X	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420006117385501	1	19630220		JOHN NOUQUE	D			C	P	 11	X	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420009118374901	1	19780424		MOSER, W	D	  18	G	C			X	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420011121224301	1	19920420		SEVEY, N.	D	  90	G	A			X	Y	tiffany	27-JUL-2006 13:07:50	tiffany	27-JUL-2006 13:07:50
USGS	420013121531801	1	19990429		SEVEY, N.	D	  59	G	A			P	Y	tiffany	17-OCT-2000 16:48:13	tiffany	17-OCT-2000 16:48:13
USGS	420016121201901	1	19550427		STORY, E.E.	D						X	Y	tiffany	14-NOV-2005 20:22:37	tiffany	14-NOV-2005 20:22:37
USGS	420016121201901	2	20010108		HUGHES, S.R.	D	 102	G	A			X	Y	tiffany	14-NOV-2005 20:22:37	tiffany	14-NOV-2005 20:22:37
USGS	420019121403701	1	19700922		WILSON	D	  20	G	C			X	Y	tiffany	26-APR-2001 17:34:22	tiffany	26-APR-2001 17:34:22
USGS	420030121140401	1	19920820		SEVEY, NORM	D	  42	G	A			X	Y	tiffany	20-FEB-2003 17:04:01	tiffany	20-FEB-2003 17:04:01
USGS	420030121224201	1	20010828		STADELI, C.	D	 769	G	A			X	Y	tiffany	27-JUL-2006 13:07:50	tiffany	27-JUL-2006 13:07:50
USGS	420031118333001	1	19560120		BLM	D	   0		C			X	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420033121410001	1	19660308		STOREY	D	  38	G	C			X	Y	nwis	04-NOV-1998 00:00:00	tiffany	08-SEP-2000 14:59:54
USGS	420035121365530	1	19690714		E E STOREY	D	  39	B	A			X	Y	nwis	04-NOV-1998 00:00:00	nwis	27-AUG-1998 00:00:00
USGS	420037124120601	1	1955		SHANNON	D	   0		C			P	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420037124121801	1	19590515		BARRINGTON	D	   0		C	B	  1	P	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420038121141001	1	19920901		SEVEY, NORM	D	  91	G	A			X	Y	tiffany	20-FEB-2003 17:03:58	tiffany	20-FEB-2003 17:03:58
USGS	420038124122801	1	19671027		BROOKLINGS	D	  19	C	C	B	  1	P	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420039124121201	1	1951		SHANNOHAN L	O	   0	C	C	N		P	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420041120174201	1	19740818		GILLMORE	O	  20		C	B	1.0	P	Y	nwis	04-NOV-1998 00:00:00	nwis	16-SEP-1991 00:00:00
USGS	420042124120701	1	19640630		SO STATE	D	  18	G	C	B	  1	P	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420042124121301	1	19690905		BROOKINGS	D	  20	C	B	B		P	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420042124121301	2	19750731		MILLER	D	  18	B	C	B	  4	S	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420042124121401	1	19690807		BROOKINGS	D	  18	G	C	B		P	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420042124121401	2	19750806		MILLER & SON	D	  18	B	C	B		S	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420042124124901	1	19700717		BROOKINGS	D	  18	C	A	B		S	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420042124124901	2	19760623		MILLER	D	  18		C			G	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420043124120701	1	19700723		BROOKINGS	D	  18	C	C	B	  1	S	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420043124120701	2	19760623		MILLER	D	  18	G	C			G	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420043124120801	1	194805			A	   0		C				Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420043124121001	1	19690829		BROOKINGS	D	  20	C	C	B		P	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420043124121001	2	19750728		MILLER & SON	D	  18	B	C	B	  4	S	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420045124121501	1	19760621		MILLER	D	  18	C	C	S		P	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
