# RDB data retrieved from Oracle.
#
# $Log$
# tsql nwisor -rdb 'select r.*, G.* from gw_reflist r right join gw_gwdd g on g.edit_table_nm = r.gw_ed_tbl_nm ' |# 02/19/2019 21:10:55, llorzol
#
gw_ed_tbl_nm	gw_ref_cd	gw_ref_nm	gw_sort_nu	gw_ref_ds	gw_valid_fg	parameter_cd	parameter_nm	col_width_nu	parameter_tp	parameter_var_nm	mtrc_unit_fc	mtrc_unit_prec_fc	insert_file_nm	insert_subfile_nm	start_byte_nu	parameter_len_nu	parameter_ptr_va	sig_fig_vector_tx	mandatory_fg	special_test_nu	edit_table_nm	head_1_tx	head_2_tx	head_3_tx	english_unit_tx	metric_unit_tx	missing_tx	reflist_insert_cd	reflist_update_cd	reflist_check_cd	valid_codes_nu	edit_table_nm_len_nu	record_type_nu	sub_record_type_nu	edit_option_tx	district_default_opt_nu	district_default_tx	table_nm	column_nm	gwdd_mn	gwdd_md
24s	128s	16s	9n	255s	1s	5s	50s	9n	2s	32s	8s	2s	32s	32s	9n	9n	5s	10s	1s	9n	24s	32s	32s	32s	32s	32s	32s	1s	1s	1s	9n	9n	9n	9n	6s	9n	128s	32s	32s	8s	25d
scordm	ANGUILLA	Anguilla 1957	30	Leeward Islands - Anguilla	Y	C036	Lat/Long Datum	8	22	SCORDM	 0	 0	SITE	none	172	10	 0		X	62	scordm		LAT/LONG	 DATUM	 (CODE)	 (CODE)	--	6	2	6	327	6	1	0	YYYYYY	0		sitefile_##	coord_datum_cd	nwis	20-NOV-2018 20:48:04
scordm	AMMASSALIK	Ammassalik 1958	29	Greenland -Ammassalik area	Y	C036	Lat/Long Datum	8	22	SCORDM	 0	 0	SITE	none	172	10	 0		X	62	scordm		LAT/LONG	 DATUM	 (CODE)	 (CODE)	--	6	2	6	327	6	1	0	YYYYYY	0		sitefile_##	coord_datum_cd	nwis	20-NOV-2018 20:48:04
scordm	AMERSFOORT	Amersfoort	28	Netherlands	Y	C036	Lat/Long Datum	8	22	SCORDM	 0	 0	SITE	none	172	10	 0		X	62	scordm		LAT/LONG	 DATUM	 (CODE)	 (CODE)	--	6	2	6	327	6	1	0	YYYYYY	0		sitefile_##	coord_datum_cd	nwis	20-NOV-2018 20:48:04
scordm	ALBANIAN	Albanian 1987	27	Albania	Y	C036	Lat/Long Datum	8	22	SCORDM	 0	 0	SITE	none	172	10	 0		X	62	scordm		LAT/LONG	 DATUM	 (CODE)	 (CODE)	--	6	2	6	327	6	1	0	YYYYYY	0		sitefile_##	coord_datum_cd	nwis	20-NOV-2018 20:48:04
scordm	ALASKANIS	Alaskan Islands	13	Alaskan islands	Y	C036	Lat/Long Datum	8	22	SCORDM	 0	 0	SITE	none	172	10	 0		X	62	scordm		LAT/LONG	 DATUM	 (CODE)	 (CODE)	--	6	2	6	327	6	1	0	YYYYYY	0		sitefile_##	coord_datum_cd	nwis	20-NOV-2018 20:48:04
scordm	AINELABD	Ain el Abd 1970	26	Kuwait,Saudi Arabia	Y	C036	Lat/Long Datum	8	22	SCORDM	 0	 0	SITE	none	172	10	 0		X	62	scordm		LAT/LONG	 DATUM	 (CODE)	 (CODE)	--	6	2	6	327	6	1	0	YYYYYY	0		sitefile_##	coord_datum_cd	nwis	20-NOV-2018 20:48:04
scordm	AGADEZ	Agadez	25	Niger	Y	C036	Lat/Long Datum	8	22	SCORDM	 0	 0	SITE	none	172	10	 0		X	62	scordm		LAT/LONG	 DATUM	 (CODE)	 (CODE)	--	6	2	6	327	6	1	0	YYYYYY	0		sitefile_##	coord_datum_cd	nwis	20-NOV-2018 20:48:04
scordm	AFGOOYE	Afgooye	24	Somalia	Y	C036	Lat/Long Datum	8	22	SCORDM	 0	 0	SITE	none	172	10	 0		X	62	scordm		LAT/LONG	 DATUM	 (CODE)	 (CODE)	--	6	2	6	327	6	1	0	YYYYYY	0		sitefile_##	coord_datum_cd	nwis	20-NOV-2018 20:48:04
scordm	ADINDAN	Adindan	23	Ethiopia, Sudan	Y	C036	Lat/Long Datum	8	22	SCORDM	 0	 0	SITE	none	172	10	 0		X	62	scordm		LAT/LONG	 DATUM	 (CODE)	 (CODE)	--	6	2	6	327	6	1	0	YYYYYY	0		sitefile_##	coord_datum_cd	nwis	20-NOV-2018 20:48:04
scordm	ACCRA	Accra	22	Ghana	Y	C036	Lat/Long Datum	8	22	SCORDM	 0	 0	SITE	none	172	10	 0		X	62	scordm		LAT/LONG	 DATUM	 (CODE)	 (CODE)	--	6	2	6	327	6	1	0	YYYYYY	0		sitefile_##	coord_datum_cd	nwis	20-NOV-2018 20:48:04
scordm	ABIDJAN	Abidjan 1987	21	Cote d'Ivoire	Y	C036	Lat/Long Datum	8	22	SCORDM	 0	 0	SITE	none	172	10	 0		X	62	scordm		LAT/LONG	 DATUM	 (CODE)	 (CODE)	--	6	2	6	327	6	1	0	YYYYYY	0		sitefile_##	coord_datum_cd	nwis	20-NOV-2018 20:48:04
mmdate	16000101	Minimum-	1	 date	Y	C038	Date lift data collected	4	31	CDLDAT	 0	 0	CONS	LIFT	81	8	 0		N	15	mmdate		DATE	 OF	LIFT	LIFT	--	2	2	2	-1	6	2	5	YYYYYN	0		gw_lift_##	lift_dt	nwis	20-NOV-2018 20:48:04
snwuse	WS	Water supply	1	water supply	Y	C039	National water use code	9	21	SNWUSE	 0	 0	SITE	none	491	2	 0		N	61	snwuse	NATIONAL	WATER USE	  CODE			--	2	2	2	12	6	1	0	YYYYNY	0		sitefile_##	nat_water_use_cd	nwis	20-NOV-2018 20:48:04
snwuse	TE	Thermoelectric	11	thermoelectric power generation	Y	C039	National water use code	9	21	SNWUSE	 0	 0	SITE	none	491	2	 0		N	61	snwuse	NATIONAL	WATER USE	  CODE			--	2	2	2	12	6	1	0	YYYYNY	0		sitefile_##	nat_water_use_cd	nwis	20-NOV-2018 20:48:04
snwuse	ST	Wastewater	9	wastewater treatment	Y	C039	National water use code	9	21	SNWUSE	 0	 0	SITE	none	491	2	 0		N	61	snwuse	NATIONAL	WATER USE	  CODE			--	2	2	2	12	6	1	0	YYYYNY	0		sitefile_##	nat_water_use_cd	nwis	20-NOV-2018 20:48:04
snwuse	RM	Remediation	10	remediation	Y	C039	National water use code	9	21	SNWUSE	 0	 0	SITE	none	491	2	 0		N	61	snwuse	NATIONAL	WATER USE	  CODE			--	2	2	2	12	6	1	0	YYYYNY	0		sitefile_##	nat_water_use_cd	nwis	20-NOV-2018 20:48:04
snwuse	PH	Power-Hydro	8	hydroelectric power generation	Y	C039	National water use code	9	21	SNWUSE	 0	 0	SITE	none	491	2	 0		N	61	snwuse	NATIONAL	WATER USE	  CODE			--	2	2	2	12	6	1	0	YYYYNY	0		sitefile_##	nat_water_use_cd	nwis	20-NOV-2018 20:48:04
snwuse	MI	Mining	6	mining	Y	C039	National water use code	9	21	SNWUSE	 0	 0	SITE	none	491	2	 0		N	61	snwuse	NATIONAL	WATER USE	  CODE			--	2	2	2	12	6	1	0	YYYYNY	0		sitefile_##	nat_water_use_cd	nwis	20-NOV-2018 20:48:04
snwuse	LV	Livestock	7	livestock	Y	C039	National water use code	9	21	SNWUSE	 0	 0	SITE	none	491	2	 0		N	61	snwuse	NATIONAL	WATER USE	  CODE			--	2	2	2	12	6	1	0	YYYYNY	0		sitefile_##	nat_water_use_cd	nwis	20-NOV-2018 20:48:04
snwuse	IR	Irrigation	5	irrigation	Y	C039	National water use code	9	21	SNWUSE	 0	 0	SITE	none	491	2	 0		N	61	snwuse	NATIONAL	WATER USE	  CODE			--	2	2	2	12	6	1	0	YYYYNY	0		sitefile_##	nat_water_use_cd	nwis	20-NOV-2018 20:48:04
snwuse	IN	Industrial	4	industrial	Y	C039	National water use code	9	21	SNWUSE	 0	 0	SITE	none	491	2	 0		N	61	snwuse	NATIONAL	WATER USE	  CODE			--	2	2	2	12	6	1	0	YYYYNY	0		sitefile_##	nat_water_use_cd	nwis	20-NOV-2018 20:48:04
snwuse	DO	Domestic	2	domestic	Y	C039	National water use code	9	21	SNWUSE	 0	 0	SITE	none	491	2	 0		N	61	snwuse	NATIONAL	WATER USE	  CODE			--	2	2	2	12	6	1	0	YYYYNY	0		sitefile_##	nat_water_use_cd	nwis	20-NOV-2018 20:48:04
snwuse	CO	Commercial	3	commercial	Y	C039	National water use code	9	21	SNWUSE	 0	 0	SITE	none	491	2	 0		N	61	snwuse	NATIONAL	WATER USE	  CODE			--	2	2	2	12	6	1	0	YYYYNY	0		sitefile_##	nat_water_use_cd	nwis	20-NOV-2018 20:48:04
snwuse	AQ	Aquaculture	12	aquaculture	Y	C039	National water use code	9	21	SNWUSE	 0	 0	SITE	none	491	2	 0		N	61	snwuse	NATIONAL	WATER USE	  CODE			--	2	2	2	12	6	1	0	YYYYNY	0		sitefile_##	nat_water_use_cd	nwis	20-NOV-2018 20:48:04
						C040	Date and time SITE record last updated (UTC)	11	33	SUPDAT			SITE	none	55	14			N	0		 DATE/TIME	SITE RECORD	  UPDATED	   (UTC)	   (UTC)	--	2	2	2	0	0	1	0	YYYYYY	0		sitefile_##	site_md	nwis	20-NOV-2018 20:48:04
						C041	Country code	7	21	SCNTRY	 0	 0	SITE	none	185	2	 0		Y	0	scntry			COUNTRY	 CODE	 CODE	--	6	6	6	0	6	1	0	YYYYYY	2	US	sitefile_##	country_cd	nwis	20-NOV-2018 20:48:04
cdltyp	Z	Other	11	Other types of lifting devices such as helical rotor, hydraulic ram, and siphon.	Y	C043	Type of lift	4	21	CDLTYP	 0	 0	CONS	LIFT	80	1	 0		Y	0	cdltyp		TYPE	 OF	LIFT	LIFT	--	6	6	6	11	6	2	5	YYYYNY	0		gw_lift_##	lift_cd	nwis	20-NOV-2018 20:48:04
cdltyp	X	No lift	10	No lift was present at the time of the visit.	Y	C043	Type of lift	4	21	CDLTYP	 0	 0	CONS	LIFT	80	1	 0		Y	0	cdltyp		TYPE	 OF	LIFT	LIFT	--	6	6	6	11	6	2	5	YYYYNY	0		gw_lift_##	lift_cd	nwis	20-NOV-2018 20:48:04
cdltyp	U	Unknown	9	The type of pump cannot be or was not identified.	Y	C043	Type of lift	4	21	CDLTYP	 0	 0	CONS	LIFT	80	1	 0		Y	0	cdltyp		TYPE	 OF	LIFT	LIFT	--	6	6	6	11	6	2	5	YYYYNY	0		gw_lift_##	lift_cd	nwis	20-NOV-2018 20:48:04
cdltyp	T	Turbine	8	Series of impellers beneath the water force water to the surface through the pump column.	Y	C043	Type of lift	4	21	CDLTYP	 0	 0	CONS	LIFT	80	1	 0		Y	0	cdltyp		TYPE	 OF	LIFT	LIFT	--	6	6	6	11	6	2	5	YYYYNY	0		gw_lift_##	lift_cd	nwis	20-NOV-2018 20:48:04
cdltyp	S	Submersible	7	Turbine pump -- electric motor connected to the impellers and submerged beneath the water.	Y	C043	Type of lift	4	21	CDLTYP	 0	 0	CONS	LIFT	80	1	 0		Y	0	cdltyp		TYPE	 OF	LIFT	LIFT	--	6	6	6	11	6	2	5	YYYYNY	0		gw_lift_##	lift_cd	nwis	20-NOV-2018 20:48:04
cdltyp	R	Rotary	6	Pumps that created a direct pressure by squeezing water between specially designed runners.	Y	C043	Type of lift	4	21	CDLTYP	 0	 0	CONS	LIFT	80	1	 0		Y	0	cdltyp		TYPE	 OF	LIFT	LIFT	--	6	6	6	11	6	2	5	YYYYNY	0		gw_lift_##	lift_cd	nwis	20-NOV-2018 20:48:04
cdltyp	P	Piston	5	Includes the lift and pitcher, reciprocating, and walking-beam jack pumps.	Y	C043	Type of lift	4	21	CDLTYP	 0	 0	CONS	LIFT	80	1	 0		Y	0	cdltyp		TYPE	 OF	LIFT	LIFT	--	6	6	6	11	6	2	5	YYYYNY	0		gw_lift_##	lift_cd	nwis	20-NOV-2018 20:48:04
cdltyp	J	Jet	4	Pumps with two pipes into the well, water is pumped down one pipe and jet forced up the other.	Y	C043	Type of lift	4	21	CDLTYP	 0	 0	CONS	LIFT	80	1	 0		Y	0	cdltyp		TYPE	 OF	LIFT	LIFT	--	6	6	6	11	6	2	5	YYYYNY	0		gw_lift_##	lift_cd	nwis	20-NOV-2018 20:48:04
cdltyp	C	Centrifugal	3	Pumps that have rotating impellers in a closed chamber that draw the water into the pump.	Y	C043	Type of lift	4	21	CDLTYP	 0	 0	CONS	LIFT	80	1	 0		Y	0	cdltyp		TYPE	 OF	LIFT	LIFT	--	6	6	6	11	6	2	5	YYYYNY	0		gw_lift_##	lift_cd	nwis	20-NOV-2018 20:48:04
cdltyp	B	Bucket	2	Includes the rope and bucket, chain and bucket, and the smaller bailer lifts.	Y	C043	Type of lift	4	21	CDLTYP	 0	 0	CONS	LIFT	80	1	 0		Y	0	cdltyp		TYPE	 OF	LIFT	LIFT	--	6	6	6	11	6	2	5	YYYYNY	0		gw_lift_##	lift_cd	nwis	20-NOV-2018 20:48:04
cdltyp	A	Air lift	1	Jet of air is pumped below the water table causing mixed air and water to issue from the well.	Y	C043	Type of lift	4	21	CDLTYP	 0	 0	CONS	LIFT	80	1	 0		Y	0	cdltyp		TYPE	 OF	LIFT	LIFT	--	6	6	6	11	6	2	5	YYYYNY	0		gw_lift_##	lift_cd	nwis	20-NOV-2018 20:48:04
hdepth	99999999	Maximum+	2	 Depth	Y	C044	Depth to intake	8	11	CDLINT	 0.3048	 0	CONS	LIFT	89	5	 0		N	21	hdepth	  PUMP	 INTAKE	SETTING	 (FEET)	(METERS)	--	2	2	2	-3	6	2	5	YYYYYY	0		gw_lift_##	intake_depth_va	nwis	20-NOV-2018 20:48:04
hdepth	-9999999	Minimum-	1	 Depth	Y	C044	Depth to intake	8	11	CDLINT	 0.3048	 0	CONS	LIFT	89	5	 0		N	21	hdepth	  PUMP	 INTAKE	SETTING	 (FEET)	(METERS)	--	2	2	2	-3	6	2	5	YYYYYY	0		gw_lift_##	intake_depth_va	nwis	20-NOV-2018 20:48:04
cdlpwr	Z	Other	9	Other (explain in remarks).	Y	C045	Type of power	5	21	CDLPWR	 0	 0	CONS	LIFT	94	1	 0		N	0	cdlpwr		TYPE	 OF	POWER	POWER	--	2	2	2	9	6	2	5	YYYYNY	0		gw_lift_##	power_cd	nwis	20-NOV-2018 20:48:04
cdlpwr	W	Windmill	8	Wind powered pump.	Y	C045	Type of power	5	21	CDLPWR	 0	 0	CONS	LIFT	94	1	 0		N	0	cdlpwr		TYPE	 OF	POWER	POWER	--	2	2	2	9	6	2	5	YYYYNY	0		gw_lift_##	power_cd	nwis	20-NOV-2018 20:48:04
cdlpwr	S	Solar	7	Solar electric.	Y	C045	Type of power	5	21	CDLPWR	 0	 0	CONS	LIFT	94	1	 0		N	0	cdlpwr		TYPE	 OF	POWER	POWER	--	2	2	2	9	6	2	5	YYYYNY	0		gw_lift_##	power_cd	nwis	20-NOV-2018 20:48:04
cdlpwr	N	Natural gas	6	Natural-gas engine.	Y	C045	Type of power	5	21	CDLPWR	 0	 0	CONS	LIFT	94	1	 0		N	0	cdlpwr		TYPE	 OF	POWER	POWER	--	2	2	2	9	6	2	5	YYYYNY	0		gw_lift_##	power_cd	nwis	20-NOV-2018 20:48:04
cdlpwr	L	LP gas	5	LP gas (propane or butane) engine.	Y	C045	Type of power	5	21	CDLPWR	 0	 0	CONS	LIFT	94	1	 0		N	0	cdlpwr		TYPE	 OF	POWER	POWER	--	2	2	2	9	6	2	5	YYYYNY	0		gw_lift_##	power_cd	nwis	20-NOV-2018 20:48:04
cdlpwr	H	Hand	4	Hand-powered pump.	Y	C045	Type of power	5	21	CDLPWR	 0	 0	CONS	LIFT	94	1	 0		N	0	cdlpwr		TYPE	 OF	POWER	POWER	--	2	2	2	9	6	2	5	YYYYNY	0		gw_lift_##	power_cd	nwis	20-NOV-2018 20:48:04
cdlpwr	G	Gasoline	3	Gasoline engine.	Y	C045	Type of power	5	21	CDLPWR	 0	 0	CONS	LIFT	94	1	 0		N	0	cdlpwr		TYPE	 OF	POWER	POWER	--	2	2	2	9	6	2	5	YYYYNY	0		gw_lift_##	power_cd	nwis	20-NOV-2018 20:48:04
cdlpwr	E	Electric	2	Electric engine.	Y	C045	Type of power	5	21	CDLPWR	 0	 0	CONS	LIFT	94	1	 0		N	0	cdlpwr		TYPE	 OF	POWER	POWER	--	2	2	2	9	6	2	5	YYYYNY	0		gw_lift_##	power_cd	nwis	20-NOV-2018 20:48:04
cdlpwr	D	Diesel	1	Diesel engine.	Y	C045	Type of power	5	21	CDLPWR	 0	 0	CONS	LIFT	94	1	 0		N	0	cdlpwr		TYPE	 OF	POWER	POWER	--	2	2	2	9	6	2	5	YYYYNY	0		gw_lift_##	power_cd	nwis	20-NOV-2018 20:48:04
						C046	Horsepower rating	6	12	CDLHPR	 0	 0	CONS	LIFT	95	7	 0	3333333332	N	0	cdlhpr			HORSE-	POWER	POWER	--	2	2	2	0	6	2	5	YYYYNN	0		gw_lift_##	hp_va	nwis	20-NOV-2018 20:48:04
						C048	Manufacturer of lift device	6	23	CDLMFR	 0	 0	CONS	LIFT	102	12	 0		N	0	cdlmfr	MAKER	  OF	 LIFT	DEVICE	DEVICE	--	2	2	2	0	6	2	5	YYYYNN	0		gw_lift_##	manufacturer_nm	nwis	20-NOV-2018 20:48:04
						C049	Serial number of lift device	7	23	CDLSER	 0	 0	CONS	LIFT	114	12	 0		N	0	cdlser	SERIAL	NUMBER	OF LIFT	DEVICE	DEVICE	--	2	2	2	0	6	2	5	YYYYNN	0		gw_lift_##	serial_no_va	nwis	20-NOV-2018 20:48:04
						C050	Name of power company	7	23	CDLPCO	 0	 0	CONS	LIFT	126	12	 0		N	0	cdlpco	 NAME	  OF	 POWER	COMPANY	COMPANY	--	2	2	2	0	6	2	5	YYYYNN	0		gw_lift_##	power_co_nm	nwis	20-NOV-2018 20:48:04
						C051	Power company account number	7	23	CDLACT	 0	 0	CONS	LIFT	138	10	 0		N	0	cdlact	POWER-	COMPANY	ACCOUNT	NUMBER	NUMBER	--	2	2	2	0	6	2	5	YYYYNN	0		gw_lift_##	power_co_acct_va	nwis	20-NOV-2018 20:48:04
						C052	Power-meter number	6	23	CDLMTR	 0	 0	CONS	LIFT	148	12	 0		N	0	cdlmtr		POWER-	METER	NUMBER	NUMBER	--	2	2	2	0	6	2	5	YYYYNN	0		gw_lift_##	power_meter_va	nwis	20-NOV-2018 20:48:04
cdlcns	10.00000	Maximum+	2	 pump rating coefficient (million gallons/unit of fuel)	Y	C053	Pump rating	6	12	CDLCNS	 0	 0	CONS	LIFT	160	8	 0	3333333335	N	0	cdlcns			 PUMP	RATING	RATING	--	2	2	2	-3	6	2	5	YYYYNY	0		gw_lift_##	pump_rating_fc	nwis	20-NOV-2018 20:48:04
cdlcns	00.00000	Minimum-	1	 pump rating coefficient (million gallons/unit of fuel)	Y	C053	Pump rating	6	12	CDLCNS	 0	 0	CONS	LIFT	160	8	 0	3333333335	N	0	cdlcns			 PUMP	RATING	RATING	--	2	2	2	-3	6	2	5	YYYYNY	0		gw_lift_##	pump_rating_fc	nwis	20-NOV-2018 20:48:04
						C054	Company that maintains lift device	7	23	CDLMNT	 0	 0	CONS	LIFT	171	12	 0		N	0	cdlmnt	 MAIN-	TAINER	OF LIFT	DEVICE	DEVICE	--	2	2	2	0	6	2	5	YYYYNN	0		gw_lift_##	maintainer_nm	nwis	20-NOV-2018 20:48:04
cdlpwr	Z	Other	9	Other (explain in remarks).	Y	C056	Type of standby power	7	21	CDLSBY	 0	 0	CONS	LIFT	188	1	 0		N	0	cdlpwr	 TYPE	  OF	STANDBY	 POWER	 POWER	--	2	2	2	9	6	2	5	YYYYNY	0		gw_lift_##	standby_cd	nwis	20-NOV-2018 20:48:04
cdlpwr	W	Windmill	8	Wind powered pump.	Y	C056	Type of standby power	7	21	CDLSBY	 0	 0	CONS	LIFT	188	1	 0		N	0	cdlpwr	 TYPE	  OF	STANDBY	 POWER	 POWER	--	2	2	2	9	6	2	5	YYYYNY	0		gw_lift_##	standby_cd	nwis	20-NOV-2018 20:48:04
cdlpwr	S	Solar	7	Solar electric.	Y	C056	Type of standby power	7	21	CDLSBY	 0	 0	CONS	LIFT	188	1	 0		N	0	cdlpwr	 TYPE	  OF	STANDBY	 POWER	 POWER	--	2	2	2	9	6	2	5	YYYYNY	0		gw_lift_##	standby_cd	nwis	20-NOV-2018 20:48:04
cdlpwr	N	Natural gas	6	Natural-gas engine.	Y	C056	Type of standby power	7	21	CDLSBY	 0	 0	CONS	LIFT	188	1	 0		N	0	cdlpwr	 TYPE	  OF	STANDBY	 POWER	 POWER	--	2	2	2	9	6	2	5	YYYYNY	0		gw_lift_##	standby_cd	nwis	20-NOV-2018 20:48:04
cdlpwr	L	LP gas	5	LP gas (propane or butane) engine.	Y	C056	Type of standby power	7	21	CDLSBY	 0	 0	CONS	LIFT	188	1	 0		N	0	cdlpwr	 TYPE	  OF	STANDBY	 POWER	 POWER	--	2	2	2	9	6	2	5	YYYYNY	0		gw_lift_##	standby_cd	nwis	20-NOV-2018 20:48:04
cdlpwr	H	Hand	4	Hand-powered pump.	Y	C056	Type of standby power	7	21	CDLSBY	 0	 0	CONS	LIFT	188	1	 0		N	0	cdlpwr	 TYPE	  OF	STANDBY	 POWER	 POWER	--	2	2	2	9	6	2	5	YYYYNY	0		gw_lift_##	standby_cd	nwis	20-NOV-2018 20:48:04
cdlpwr	G	Gasoline	3	Gasoline engine.	Y	C056	Type of standby power	7	21	CDLSBY	 0	 0	CONS	LIFT	188	1	 0		N	0	cdlpwr	 TYPE	  OF	STANDBY	 POWER	 POWER	--	2	2	2	9	6	2	5	YYYYNY	0		gw_lift_##	standby_cd	nwis	20-NOV-2018 20:48:04
cdlpwr	E	Electric	2	Electric engine.	Y	C056	Type of standby power	7	21	CDLSBY	 0	 0	CONS	LIFT	188	1	 0		N	0	cdlpwr	 TYPE	  OF	STANDBY	 POWER	 POWER	--	2	2	2	9	6	2	5	YYYYNY	0		gw_lift_##	standby_cd	nwis	20-NOV-2018 20:48:04
cdlpwr	D	Diesel	1	Diesel engine.	Y	C056	Type of standby power	7	21	CDLSBY	 0	 0	CONS	LIFT	188	1	 0		N	0	cdlpwr	 TYPE	  OF	STANDBY	 POWER	 POWER	--	2	2	2	9	6	2	5	YYYYNY	0		gw_lift_##	standby_cd	nwis	20-NOV-2018 20:48:04
						C057	Horsepower of standby power source	10	12	CDLSHP	 0	 0	CONS	LIFT	189	7	 0	3333333332	N	0	cdlshp	HORSEPOWER	OF STANDBY	  POWER	  SOURCE	  SOURCE	--	2	2	2	0	6	2	5	YYYYNN	0		gw_lift_##	standby_hp_va	nwis	20-NOV-2018 20:48:04
						C059	Sequence number of parent CONS record	8	10	CDHPNT	 0	 0	CONS	HOLE	25	3	 0		Y	0			 PARENT	SEQUENCE	 NUMBER	 NUMBER	--	6	6	6	0	0	2	2	YYYYYY	0		gw_hole_##	cons_seq_nu	nwis	20-NOV-2018 20:48:04
mmdate	16000101	Minimum-	1	 date	Y	C060	Date of construction	12	31	CDCODT	 0	 0	CONS	CONS	80	8	 0		N	15	mmdate			  DATE OF	CONSTRUCTION	CONSTRUCTION	--	2	2	2	-1	6	2	1	YYYYYN	0		gw_cons_##	cons_dt	nwis	20-NOV-2018 20:48:04
						C061	User ID of person creating SITE record	8	23	SCRUID	 0	 0	SITE	none	25	8	 0		Y	0		 PERSON	CREATING	  SITE	 RECORD	 RECORD	--	6	6	6	0	0	1	0	YYYYYY	0		sitefile_##	site_cn	nwis	20-NOV-2018 20:48:04
						C062	User ID of person updating SITE record	8	23	SUPUID	 0	 0	SITE	none	47	8	 0		Y	0		 PERSON	UPDATING	  SITE	 RECORD	 RECORD	--	6	6	6	0	0	1	0	YYYYYY	0		sitefile_##	site_mn	nwis	20-NOV-2018 20:48:04
						C063	Name of contractor	10	23	CDCOCT	 0	 0	CONS	CONS	88	12	 0		N	0	cdcoct				CONTRACTOR	CONTRACTOR	--	2	2	2	0	6	2	1	YYYYNN	0		gw_cons_##	cons_contractor_nm	nwis	20-NOV-2018 20:48:04
dtsorc	Z	Other	9	Other	Y	C064	Source of construction data	12	21	CDCOSC	 0	 0	CONS	CONS	100	1	 0		N	0	dtsorc		 SOURCE OF	CONSTRUCTION	    DATA	    DATA	--	2	2	2	9	6	2	1	YYYYNY	0		gw_cons_##	cons_src_cd	nwis	20-NOV-2018 20:48:04
dtsorc	S	Reporting Agency	8	Reporting Agency	Y	C064	Source of construction data	12	21	CDCOSC	 0	 0	CONS	CONS	100	1	 0		N	0	dtsorc		 SOURCE OF	CONSTRUCTION	    DATA	    DATA	--	2	2	2	9	6	2	1	YYYYNY	0		gw_cons_##	cons_src_cd	nwis	20-NOV-2018 20:48:04
dtsorc	R	Other Reported	7	Other Reported	Y	C064	Source of construction data	12	21	CDCOSC	 0	 0	CONS	CONS	100	1	 0		N	0	dtsorc		 SOURCE OF	CONSTRUCTION	    DATA	    DATA	--	2	2	2	9	6	2	1	YYYYNY	0		gw_cons_##	cons_src_cd	nwis	20-NOV-2018 20:48:04
dtsorc	O	Owner	6	Owner	Y	C064	Source of construction data	12	21	CDCOSC	 0	 0	CONS	CONS	100	1	 0		N	0	dtsorc		 SOURCE OF	CONSTRUCTION	    DATA	    DATA	--	2	2	2	9	6	2	1	YYYYNY	0		gw_cons_##	cons_src_cd	nwis	20-NOV-2018 20:48:04
dtsorc	M	Memory	5	Memory	Y	C064	Source of construction data	12	21	CDCOSC	 0	 0	CONS	CONS	100	1	 0		N	0	dtsorc		 SOURCE OF	CONSTRUCTION	    DATA	    DATA	--	2	2	2	9	6	2	1	YYYYNY	0		gw_cons_##	cons_src_cd	nwis	20-NOV-2018 20:48:04
dtsorc	L	Logs	4	Logs	Y	C064	Source of construction data	12	21	CDCOSC	 0	 0	CONS	CONS	100	1	 0		N	0	dtsorc		 SOURCE OF	CONSTRUCTION	    DATA	    DATA	--	2	2	2	9	6	2	1	YYYYNY	0		gw_cons_##	cons_src_cd	nwis	20-NOV-2018 20:48:04
dtsorc	G	Geologist	3	Geologist	Y	C064	Source of construction data	12	21	CDCOSC	 0	 0	CONS	CONS	100	1	 0		N	0	dtsorc		 SOURCE OF	CONSTRUCTION	    DATA	    DATA	--	2	2	2	9	6	2	1	YYYYNY	0		gw_cons_##	cons_src_cd	nwis	20-NOV-2018 20:48:04
dtsorc	D	Driller	2	Driller	Y	C064	Source of construction data	12	21	CDCOSC	 0	 0	CONS	CONS	100	1	 0		N	0	dtsorc		 SOURCE OF	CONSTRUCTION	    DATA	    DATA	--	2	2	2	9	6	2	1	YYYYNY	0		gw_cons_##	cons_src_cd	nwis	20-NOV-2018 20:48:04
dtsorc	A	Other Gov't	1	Other Gov't	Y	C064	Source of construction data	12	21	CDCOSC	 0	 0	CONS	CONS	100	1	 0		N	0	dtsorc		 SOURCE OF	CONSTRUCTION	    DATA	    DATA	--	2	2	2	9	6	2	1	YYYYNY	0		gw_cons_##	cons_src_cd	nwis	20-NOV-2018 20:48:04
cdcome	Z	Other	13	Other methods of constructing a well.	Y	C065	Method of construction	6	21	CDCOME	 0	 0	CONS	CONS	101	1	 0		N	0	cdcome		METHOD	CONST-	RUCTED	RUCTED	--	2	2	2	13	6	2	1	YYYYNY	0		gw_cons_##	cons_meth_cd	nwis	20-NOV-2018 20:48:04
cdcome	W	Drive and wash	12	Constructed by alternately driving a pipe and washing out material from the inside with a water jet.	Y	C065	Method of construction	6	21	CDCOME	 0	 0	CONS	CONS	101	1	 0		N	0	cdcome		METHOD	CONST-	RUCTED	RUCTED	--	2	2	2	13	6	2	1	YYYYNY	0		gw_cons_##	cons_meth_cd	nwis	20-NOV-2018 20:48:04
