# RDB data retrieved from Oracle.
#
# $Log$
# tsql nwisor -rdb 'select r.*, G.* from gw_reflist r right join gw_gwdd g on g.edit_table_nm = r.gw_ed_tbl_nm ' |# 02/19/2019 21:10:55, llorzol
#
gw_ed_tbl_nm	gw_ref_cd	gw_ref_nm	gw_sort_nu	gw_ref_ds	gw_valid_fg	parameter_cd	parameter_nm	col_width_nu	parameter_tp	parameter_var_nm	mtrc_unit_fc	mtrc_unit_prec_fc	insert_file_nm	insert_subfile_nm	start_byte_nu	parameter_len_nu	parameter_ptr_va	sig_fig_vector_tx	mandatory_fg	special_test_nu	edit_table_nm	head_1_tx	head_2_tx	head_3_tx	english_unit_tx	metric_unit_tx	missing_tx	reflist_insert_cd	reflist_update_cd	reflist_check_cd	valid_codes_nu	edit_table_nm_len_nu	record_type_nu	sub_record_type_nu	edit_option_tx	district_default_opt_nu	district_default_tx	table_nm	column_nm	gwdd_mn	gwdd_md
24s	128s	16s	9n	255s	1s	5s	50s	9n	2s	32s	8s	2s	32s	32s	9n	9n	5s	10s	1s	9n	24s	32s	32s	32s	32s	32s	32s	1s	1s	1s	9n	9n	9n	9n	6s	9n	128s	32s	32s	8s	25d
sdist	36	NEW YORK	35	NEW YORK	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	35	NEW MEXICO	34	NEW MEXICO	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	34	NEW JERSEY	33	NEW JERSEY	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	33	NH,VT	32	NEW HAMPSHIRE, VERMONT	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	32	NEVADA	31	NEVADA	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	31	NEBRASKA	30	NEBRASKA	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	30	MONTANA	29	MONTANA	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	29	MISSOURI	28	MISSOURI	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	28	MISSISSIPPI	27	MISSISSIPPI	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	27	MINNESOTA	26	MINNESOTA	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	26	MICHIGAN	25	MICHIGAN	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	25	MA,RI	24	MASSACHUSETTS, RHODE ISLAND	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
